name,type,address,atoll,contact,email,google_maps_url,page
Cocogiri Clinic,General Clinic,"Cocogiri Clinic, Cocogiri",Cocogiri,7784975 / 7511844,[email protected],https://www.google.com/maps/search/?api=1&query=Cocogiri%20Clinic%2C%20Cocogiri%2C%20Maldives,7
Constance Moofushi Resort Clinic,General Clinic,"Constance Moofushi Resort Clinic, Constance",Constance,"3323564, 3323445","[email protected],[email protected]",https://www.google.com/maps/search/?api=1&query=Constance%20Moofushi%20Resort%20Clinic%2C%20Constance%2C%20Maldives,7
CORAL BAY CLINIC,General Clinic,"CORAL BAY CLINIC, CORAL",CORAL,+9606541405,[email protected],https://www.google.com/maps/search/?api=1&query=CORAL%20BAY%20CLINIC%2C%20CORAL%2C%20Maldives,7
Crystal Medicals,General Clinic,"Crystal Medicals, Crystal",Crystal,7991232 / 7790671,[email protected],https://www.google.com/maps/search/?api=1&query=Crystal%20Medicals%2C%20Crystal%2C%20Maldives,7
CyMa Care,General Clinic,"CyMa Care, CyMa",CyMa,7901920,[email protected],https://www.google.com/maps/search/?api=1&query=CyMa%20Care%2C%20CyMa%2C%20Maldives,7
CyMa Care Hulhumale',Therapeutic Service Clinic,"CyMa Care Hulhumale', CyMa",CyMa,7787260,[email protected],https://www.google.com/maps/search/?api=1&query=CyMa%20Care%20Hulhumale%27%2C%20CyMa%2C%20Maldives,7
D.S.M Clinic,General Clinic,D.S.M Clinic,,7778610,[email protected],https://www.google.com/maps/search/?api=1&query=D.S.M%20Clinic%2C%20%2C%20Maldives,7
Dental Care Centre,Area Specific Clinic,"Dental Care Centre, Dental",Dental,7348800 (Khatma),[email protected],https://www.google.com/maps/search/?api=1&query=Dental%20Care%20Centre%2C%20Dental%2C%20Maldives,8
Dental Studio,General Clinic,"Dental Studio, Dental",Dental,7777466,[email protected],https://www.google.com/maps/search/?api=1&query=Dental%20Studio%2C%20Dental%2C%20Maldives,8
DH. Atoll Hospital,Hospital Grade 2,"DH. Atoll Hospital, DH.",DH.,3328887,[email protected],https://www.google.com/maps/search/?api=1&query=DH.%20Atoll%20Hospital%2C%20DH.%2C%20Maldives,8
DH. Bandidhoo Health Centre,Health Centre Grade 2,"DH. Bandidhoo Health Centre, DH.",DH.,3328887,[email protected],https://www.google.com/maps/search/?api=1&query=DH.%20Bandidhoo%20Health%20Centre%2C%20DH.%2C%20Maldives,8
DH. Hulhudhelee Health Centre,Health Centre Grade 1,"DH. Hulhudhelee Health Centre, DH.",DH.,3328887,[email protected],https://www.google.com/maps/search/?api=1&query=DH.%20Hulhudhelee%20Health%20Centre%2C%20DH.%2C%20Maldives,8
